[warm] 构建向量索引...
[warmup] 加载预设...
[warmup] 共 152 个预设
[warmup] 预载 LUT tables...
[LUT] 已缓存 144 个 LUT table
[warmup] 完成 ✓

🚀 ProjectLUT → http://localhost:8765
  [18/Jun/2026 21:20:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:20:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:20:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:20:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:21:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:21:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:21:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:21:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:21:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:22:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:22:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:22:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:22:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:22:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:23:02] GET / HTTP/1.1
  [18/Jun/2026 21:23:03] GET /@vite/client HTTP/1.1
  [18/Jun/2026 21:23:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:23:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:23:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:23:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:24:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:24:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:24:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:24:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:25:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:25:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:25:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:25:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:26:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:26:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:26:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:26:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:27:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:27:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:27:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:27:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:28:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:28:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:28:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:28:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:29:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:29:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:29:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:29:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:29:54] GET / HTTP/1.1
  [18/Jun/2026 21:29:54] GET /@vite/client HTTP/1.1
  [18/Jun/2026 21:30:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:30:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:30:28] POST /api/search HTTP/1.1
  LUT 应用: 600ms, 尺寸=(1600, 900)
  [apply] 淡雅warm → 817ms
  [18/Jun/2026 21:30:34] POST /api/apply HTTP/1.1
  LUT 应用: 523ms, 尺寸=(1600, 900)
  [apply] FAKE5207莫兰迪绿 → 701ms
  [18/Jun/2026 21:30:38] POST /api/apply HTTP/1.1
  [18/Jun/2026 21:30:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:30:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:30:55] POST /api/search HTTP/1.1
  LUT 应用: 502ms, 尺寸=(1600, 900)
  [apply] 人像质感 → 609ms
  [18/Jun/2026 21:30:59] POST /api/apply HTTP/1.1
  LUT 应用: 515ms, 尺寸=(1600, 900)
  [apply] cold低饱和冷 → 694ms
  [18/Jun/2026 21:31:03] POST /api/apply HTTP/1.1
  [18/Jun/2026 21:31:15] POST /api/search HTTP/1.1
  [18/Jun/2026 21:31:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:31:15] GET /api/stats HTTP/1.1
  LUT 应用: 528ms, 尺寸=(1600, 900)
  [apply] 动漫肤色优化 → 707ms
  [18/Jun/2026 21:31:20] POST /api/apply HTTP/1.1
  LUT 应用: 537ms, 尺寸=(1600, 900)
  [apply] cold冷白 → 719ms
  [18/Jun/2026 21:31:22] POST /api/apply HTTP/1.1
  [18/Jun/2026 21:31:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:31:45] GET /api/stats HTTP/1.1
  LUT 应用: 599ms, 尺寸=(1600, 900)
  [apply] 动漫肤色优化 → 777ms
  [18/Jun/2026 21:31:48] POST /api/apply HTTP/1.1
  LUT 应用: 503ms, 尺寸=(1600, 900)
  [apply] 人像冷白 → 610ms
  [18/Jun/2026 21:31:50] POST /api/apply HTTP/1.1
  [18/Jun/2026 21:32:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:32:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:32:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:32:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:33:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:33:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:33:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:33:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:34:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:34:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:34:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:34:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:35:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:35:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:35:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:35:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:36:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:36:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:36:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:36:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:37:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:37:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:37:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:37:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:38:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:38:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:38:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:38:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:39:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:39:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:39:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:39:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:40:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:40:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:40:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:40:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:41:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:41:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:41:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:41:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:42:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:42:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:42:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:42:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:43:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:43:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:43:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:43:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:44:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:44:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:44:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:44:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:45:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:45:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:45:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:45:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:46:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:46:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:46:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:46:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:47:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:47:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:47:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:47:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:48:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:48:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:48:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:48:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:49:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:49:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:49:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:49:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:50:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:50:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:50:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:50:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:51:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:51:15] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:51:45] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:51:45] GET /api/stats HTTP/1.1
  [18/Jun/2026 21:52:15] GET /api/ping HTTP/1.1
  [18/Jun/2026 21:52:15] GET /api/stats HTTP/1.1
